schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date
1.0,RESEARCH_PAPER,LeVJEPA: Efficient & Scalable Video Pretraining without the Heuristics,"Lukas Kuhn, Lucas Maes, Giuseppe Serra, Quentin Le Lidec, Yann LeCun, Randall Balestriero, Florian Buettner",http://arxiv.org/abs/2608.27395v1,,,2026-08-27T17:26:24+00:00
1.0,RESEARCH_PAPER,Property-Specific Recoverability from Contact PPG to Camera rPPG under Heterogeneous Observation Conditions,"Timothy Oladunni, Farouk Ganiyu-Adewumi",http://arxiv.org/abs/2608.27392v1,,,2026-08-27T17:23:14+00:00
1.0,RESEARCH_PAPER,CorporateBench: Large-Scale Q&A Benchmarking with Temporal Knowledge Bases,"Sil Hamilton, Albert Yu Sun, Oscar J. Romero, Carl-Leander Henneking, David Mimno, Bishan Yang, Igor Labutov",http://arxiv.org/abs/2608.27391v1,,,2026-08-27T17:23:04+00:00
1.0,RESEARCH_PAPER,Successive Capacity Growth: Task-Complexity-Driven Width and Depth Expansion for Vision Transformer Encoders in JEPA World Models,Frederik Berenz,http://arxiv.org/abs/2608.27367v1,,,2026-08-27T17:04:57+00:00
1.0,RESEARCH_PAPER,Stageboost: Recommending Signals Based on Counterfactual Estimation,"Darpan Singhal, Matan Mandelbrod, Tal Franji, Manasa Kolla, Vipul Gaba, Yuri Brovman",http://arxiv.org/abs/2608.27366v1,,,2026-08-27T17:04:45+00:00
1.0,RESEARCH_PAPER,KnockGS:interaction-Grounded Calibrationof Physical Gaussian Representations,"Chenchen Ge, Hanwen Shen, Bowen Jing, Jiyuan Cai, Xiaofeng Wang, Hongsen Lei, Weitao Zhou, Dandan Zhang, Haibao Yu",http://arxiv.org/abs/2608.27365v1,,,2026-08-27T17:03:38+00:00
1.0,RESEARCH_PAPER,Sophistication in GenAI Use: Field Evidence from a Large Firm,"Nicholas J. Hallman, Zachary T. Kowaleski, Anu Puvvada, Jaime J. Schmidt",http://arxiv.org/abs/2608.27364v1,,,2026-08-27T17:03:10+00:00
1.0,RESEARCH_PAPER,RCMN: Understanding Misleadingness in Influential Public Discourse,Peiling Yi,http://arxiv.org/abs/2608.27358v1,,,2026-08-27T16:57:40+00:00
1.0,RESEARCH_PAPER,PAWBench: How Far Are We from Probabilistically Aligned World Modeling?,"Yuandong Pu, Le Zhuo, Sayak Paul, Gabriel Jorge Menezes, Avram Đorđević, Shiyang Li, Yifan Zhou, Bin Fu, Wenlong Zhang, Junjun He, Yu Qiao, Yihao Liu, Jingbo Xing, Xi Chen",http://arxiv.org/abs/2608.27345v1,,,2026-08-27T16:46:38+00:00
1.0,RESEARCH_PAPER,Not All Eval-Awareness Is Equal: Capabilities Framing Predicts Compliance,"Allison Zhuang, Santiago Aranguri",http://arxiv.org/abs/2608.27340v1,,,2026-08-27T16:41:48+00:00
1.0,RESEARCH_PAPER,"Verify Smarter, Evolve Further: Efficient Harness Evolution through Behavior-Aware Verification","Jinghan Xu, Yikai Zhang, Aili Chen, Weiyuan Li, Jiaqing Liang, Deqing Yang",http://arxiv.org/abs/2608.27311v1,https://github.com/jhxu5214/HarnessLens,0,2026-08-27T16:12:23+00:00
1.0,RESEARCH_PAPER,Difference-in-Differences on a Censored Rating Scale Can Manufacture an Effect: Evidence from a Pre-Registered LLM-Judge Audit,"Shuyi Fan, Boyuan Deng, Mengyu Xu, Xinhong Xie, Chenyang Li, Hongyang Zhang",http://arxiv.org/abs/2608.27309v1,,,2026-08-27T16:10:16+00:00
1.0,RESEARCH_PAPER,LLMs Can Design Near-Optimal OR Algorithms,Jackie Baek,http://arxiv.org/abs/2608.27296v1,,,2026-08-27T16:01:11+00:00
1.0,RESEARCH_PAPER,TADP: Task-Aware Deformable Prediction for Single-Stage 3D Object Detection,"Su Wang, Yaochen Li, Min Yang, Jiaohao Nie, Chang Liu, Yuehu Liu",http://arxiv.org/abs/2608.27282v1,,,2026-08-27T15:54:32+00:00
1.0,RESEARCH_PAPER,BrailleBench: Investigating Multi-Criteria Braille Comprehension in Large Language Models,"Jinghan Zhang, Fengran Mo, Zhiyu Chen, Xiaoyan Han, Kunpeng Liu, Chang-Tien Lu",http://arxiv.org/abs/2608.27268v1,,,2026-08-27T15:48:39+00:00
1.0,RESEARCH_PAPER,Naive Prompt Optimization: Rethinking the Need for Complex Prompt Search,"Yuan Chang, Xiaoqi Chen",http://arxiv.org/abs/2608.27266v1,,,2026-08-27T15:47:58+00:00
1.0,RESEARCH_PAPER,What Makes Good Agentic Data? An ACE Lens on Data Generation for LLM Agents,"Xingshan Zeng, Zishan Xu, Boju Zhang, Yuzhou Wu, Lingzhi Wang, Jianghao Lin, Liangyou Li, Yasheng Wang, Lifeng Shang, Xin Jiang, Weinan Zhang, Yong Yu, Qun Liu, Weiwen Liu",http://arxiv.org/abs/2608.27260v1,,,2026-08-27T15:43:50+00:00
1.0,RESEARCH_PAPER,Compositional Online Learning for Semantic Data Processing Systems,"Paweł Liskowski, Fuheng Zhao, Benjamin Han, Anupam Datta, Dimitris Tsirogiannis",http://arxiv.org/abs/2608.27244v1,,,2026-08-27T15:25:05+00:00
1.0,RESEARCH_PAPER,STEP: State-Aware Task Estimation and Planning with Multi-Modal LLMs for Human-Robot Collaboration,"Maitrey Gramopadhye, Prakash Baskaran, Xiao Liu, Songpo Li, Soshi Iba",http://arxiv.org/abs/2608.27225v1,,,2026-08-27T15:08:36+00:00
1.0,RESEARCH_PAPER,PACE: A Unified Condense-and-Extract Paradigm for Fast VLM Inference,"Junjie Liu, Shengyuan Ye, Xu Chen",http://arxiv.org/abs/2608.27206v1,https://github.com/jjL357/PACE,0,2026-08-27T14:52:09+00:00
1.0,RESEARCH_PAPER,LLMs in Digital EDA: A perspective on shifting roles from Generation to Orchestration,"Matthew Youngman, Cristian Sestito, Themis Prodromakis",http://arxiv.org/abs/2608.27184v1,,,2026-08-27T14:29:35+00:00
1.0,RESEARCH_PAPER,When Text Misleads: Inconsistent-Aware Reasoning for Audio-Grounded Dialogue,"Yen-Ju Lu, Yuzhe Wang, Yaohan Guan, Xiluo He, Jiarui Hai, Mingrui Liang, Kaavya Chaparala, Thomas Thebaud, Laureano Moro-Velazquez, Najim Dehak, Jesus Villalba",http://arxiv.org/abs/2608.27176v1,,,2026-08-27T14:26:46+00:00
1.0,RESEARCH_PAPER,"Calibrated Enough to Know, Not Calibrated to Act: Fabricated Evidence Makes LLM Agents Commit to the Unknowable",Pranav Aggarwal,http://arxiv.org/abs/2608.27167v1,,,2026-08-27T14:20:08+00:00
1.0,RESEARCH_PAPER,ANTShapes Benchmarking Datasets for Event-Based Neuromorphic Object Classification,"M. Middleton, H. Kayan, B. Sen Bhattacharya, T. Ali, E. Baikas, M. Vousden, C. Perera, O. Rhodes, E. Gheorghiu, M. A. Trefzer",http://arxiv.org/abs/2608.27150v1,,,2026-08-27T14:02:32+00:00
1.0,RESEARCH_PAPER,BPMN4CAI: A BPMN Extension for Modeling Dynamic Conversational AI,"Björn-Lennart Eger, Daniel Rose, Barbara Dinter",http://arxiv.org/abs/2608.27149v1,,,2026-08-27T14:01:25+00:00
1.0,RESEARCH_PAPER,Thomson: Continual Learning of Frontier Models for SovereignAI,"Shengzhuang Chen, Jerrod Parker, Yejin Bang, Andrew M. Bean, Nabeel Seedat, Stefan Winzeck, Daniil Glazko, Jannik Zgraggen, Fangyi Yu, Scott Arnott, Dietrich Trautmann, Luca Ciuffreda, Guglielmo Bonifazi, Davide Romano, Bradley Bell, Kirsty Fielding, Daniele Giofrè, Tom Zielund, Ipshita Chatterjee, Sneha Murthy Ghantasala, Manpreet Nanreh, John Scoville, Maciej Sakowicz, Wassim Seifeddine, Lukas Thede, Jonathan Richard Schwarz",http://arxiv.org/abs/2608.27147v1,,,2026-08-27T13:59:36+00:00
1.0,RESEARCH_PAPER,When Tool Outputs Become Commands: Separating Action Induction from Runtime Authorization in Tool-Augmented LLM Agents,"Xiaokun Guo, Zhen Xu, Dongdong Huo, Yanqiu Zhang, Wei Wang, Qinfu Yang, Dongjin Yu, Yu Wang",http://arxiv.org/abs/2608.27146v1,,,2026-08-27T13:59:04+00:00
1.0,RESEARCH_PAPER,Feature Transformation Enhanced Jacobi Polynomial Graph Filtering for Graph Anomaly Detection,"Xiang Wang, Zhijun Cheng, Zhenyu Meng",http://arxiv.org/abs/2608.27144v1,,,2026-08-27T13:57:09+00:00
1.0,RESEARCH_PAPER,GRAIN: Bridging Name and Narrative Shifts in Real-World Graph Reasoning through Invariance-Rewarded Agentic RL,"Zike Yuan, Han Zhang, Jianzhi Yan, Le Liu, Cai Ke, Huozhi Zhou, Jian Xie, Jiran Yin, Yukun Cao, Yue Yu, Hui Wang, Ming Liu, Bing Qin",http://arxiv.org/abs/2608.27142v1,,,2026-08-27T13:53:52+00:00
1.0,RESEARCH_PAPER,Safety Does Not Compose: Non-Decaying Loop State for Autonomous LLM Agents,"Chenhao Wu, Haoxuan Jia, Yang Liu, Yingguang Yang, Yuhan Lin, Chongyang Zhang, Hao Zheng, Yulin Huang, Jianshen Zhang, Yongzhi Qi, Shang Luo, Kefu Xu, Jifeng Zhu, Bin Chong",http://arxiv.org/abs/2608.27141v1,,,2026-08-27T13:52:31+00:00
1.0,RESEARCH_PAPER,TransMeme: A Multi-Agent Framework for Cross-Cultural Meme Transcreation,"Jingyi Zheng, Yule Liu, Zifan Peng, Tianyi Hu, Yuemeng Zhao, Xinhu Zheng, Xinlei He",http://arxiv.org/abs/2608.27127v1,,,2026-08-27T13:40:11+00:00
1.0,RESEARCH_PAPER,LAAF: A Layered Accountability Architecture Framework for LLM Applications,"Prachi Chaturvedi, Shahnawaz Ahmad, Ehsan Nowroozi, Muhammad Waqas, George Loukas, Alireza Jolfaei, Lucas Cordeiro, Pierre Dantas",http://arxiv.org/abs/2608.27102v1,,,2026-08-27T13:18:26+00:00
1.0,RESEARCH_PAPER,pro-team at LLMs4OL 2026 Tasks Flagship and Reuse: Retrieval-Augmented Generation and Vocabulary-Constrained Filtering for Ontology Learning,"Shivam Mishra, Dhannu Ram Meena, Muneendra Ojha, Krishna Pratap Singh, Kuldeep Singh",http://arxiv.org/abs/2608.27101v1,,,2026-08-27T13:16:55+00:00
1.0,RESEARCH_PAPER,Active sensing to characterize the heterogeneity of plant stress,"Ayman Laaroussi, Peter Hanappe, David Colliaux",http://arxiv.org/abs/2608.27088v1,,,2026-08-27T13:11:13+00:00
1.0,RESEARCH_PAPER,A Contract-Centered Architecture for Scalable and Manageable Agentic Runtimes,"Yaxiao Liu, Pengbo Liu, Yiwen Liu, Yihua Guan, Zhenghe Hou, Jiaxing Song",http://arxiv.org/abs/2608.27086v1,,,2026-08-27T13:09:49+00:00
1.0,RESEARCH_PAPER,Active Diffusion-Based Inference for Ill-Posed Inverse Problems under Incomplete Priors,"Jitao Xu, Nobuo Sato, Yaohang Li",http://arxiv.org/abs/2608.27080v1,,,2026-08-27T13:06:56+00:00
1.0,RESEARCH_PAPER,Learning Transverse Momentum Distributions from Raw Scattering Events via Conditional Diffusion,"Jitao Xu, Christopher Cocuzza, Kevin Braga, Daniel Lersch, Nobuo Sato, Yaohang Li",http://arxiv.org/abs/2608.27077v1,,,2026-08-27T13:01:49+00:00
1.0,RESEARCH_PAPER,Emotional Preferences as Goal-Priority Regulation,"Shiqi Liu, Yihua Tan, Hu Fu, Guanyu Qi",http://arxiv.org/abs/2608.27072v1,,,2026-08-27T12:58:09+00:00
1.0,RESEARCH_PAPER,Beyond Classification: Task-Dependent Learnability under Privacy-Motivated Image Transformations,"Leon Ranke, Wolfgang Hübner, Ronny Hug, Michael Arens, Jürgen Beyerer",http://arxiv.org/abs/2608.27066v1,,,2026-08-27T12:52:16+00:00
1.0,RESEARCH_PAPER,Performance Foundations of Parallel & Distributed Reasoning Language Models,"Maciej Besta, Leonard Schmidt, Lara Nonino, Robert Gerstenberger, Pierre Pang, Patrik Okanovic, Ales Kubicek, Tiancheng Chen, Baraq Lipshitz, Torsten Hoefler",http://arxiv.org/abs/2608.27046v1,,,2026-08-27T12:33:47+00:00
1.0,RESEARCH_PAPER,Omni-Interactive Universal Embedder,"Wei-Yao Wang, Kazuya Tateishi, Shuyang Cui, Christian Simon, Takashi Shibuya, Shusuke Takahashi, Yuki Mitsufuji",http://arxiv.org/abs/2608.27044v1,,,2026-08-27T12:31:55+00:00
1.0,RESEARCH_PAPER,Multi-Person Human Motion Forecasting in Complex Scenes,"Serdar Ozsoy, Lars Doorenbos, Juergen Gall",http://arxiv.org/abs/2608.27039v1,,,2026-08-27T12:25:46+00:00
1.0,RESEARCH_PAPER,FaulT-Bench: Towards Benchmarking Network Troubleshooting LLM Agents under Unreliable User Tickets,"Kuan-Hao Tseng, Niruth Bogahawatta, Yasod Ginige, Kunjan Patel, Kosta Dakic, Suranga Seneviratne",http://arxiv.org/abs/2608.27021v1,,,2026-08-27T12:07:10+00:00
1.0,RESEARCH_PAPER,Magnon-induced phononic Chern insulator,"Rui-Chang Shen, Yihao Yang, Haoran Xue",http://arxiv.org/abs/2608.27011v1,,,2026-08-27T11:55:52+00:00
1.0,RESEARCH_PAPER,"A Multi-Modal AI Framework for Real-Time Queue Prediction, Management and Optimisation in Intelligent Border Control Systems","Varvara Mama, Eleni Veroni, Nikolaos Kapsalis, Christos D. Nikolopoulos, Anargyros T. Baklezos",http://arxiv.org/abs/2608.27010v1,,,2026-08-27T11:55:40+00:00
1.0,RESEARCH_PAPER,ASIL: Replacing Screenshot-and-Click with Structured State and Semantic Actions,"Rui Xie, Lu Chen",http://arxiv.org/abs/2608.26991v1,,,2026-08-27T11:38:19+00:00
1.0,RESEARCH_PAPER,DSA: Evidence-Aware LLM-Agent Orchestration for Multi-Market Stock Research,"Linsen Zhu, Yi Shi",http://arxiv.org/abs/2608.26990v1,,,2026-08-27T11:37:13+00:00
1.0,RESEARCH_PAPER,GraphMemix: Query-Aware Evidence Forests for Long-Term Multimodal Agent Memory,"Geng Li, Yuhao Wang, Dong Li, Jianye Hao, Yuxin Peng",http://arxiv.org/abs/2608.26983v1,,,2026-08-27T11:28:49+00:00
1.0,RESEARCH_PAPER,Per-View Gaussian Predictions Enable Training-Free Distractor Filtering in Feed-Forward 3DGS,"Kangmin Seo, Jae-Pil Heo",http://arxiv.org/abs/2608.26951v1,,,2026-08-27T10:52:28+00:00
1.0,RESEARCH_PAPER,From Atomic to Agentic: Towards Interpretable Evaluation of LLMs' Agentic Mathematical Capabilities,"Jiayi Kuang, Yinghui Li, Yunze Song, Keyu Chen, Zhifeng Shen, Yangning Li, Yidong Wang, Di Yin, Ruizhi Qiao, Xing Sun, Kai Jin, Ying Shen, Liang Lin, Philip S. Yu",http://arxiv.org/abs/2608.26950v1,,,2026-08-27T10:52:06+00:00
1.0,RESEARCH_PAPER,A Table Is Worth 64 Tokens: Pixel-level Compression for Multi-Table Document Question Answering,"Iñigo Alonso, Mirella Lapata",http://arxiv.org/abs/2608.26949v1,,,2026-08-27T10:50:13+00:00
1.0,RESEARCH_PAPER,Counterfactual Bias Testing for Application Tracking System,"Sai Yashwant, Shruti Bansal, Anurag Dubey, Samaroha Chatterjee, Satyam Kumar, Shreyash Gupta, Gantala Thulsiram",http://arxiv.org/abs/2608.26899v1,,,2026-08-27T10:01:36+00:00
1.0,RESEARCH_PAPER,AI agents in Algorithmic Electricity Markets: On the Emergence of Tacit Collusion,"Jakub Seredyński, Georgios Tsaousoglou",http://arxiv.org/abs/2608.26896v1,,,2026-08-27T09:51:48+00:00
1.0,RESEARCH_PAPER,When Memory Takes Gradients: Collaborative Vector Memory for Agentic Recommender Systems,"Hanchong Chen, Xing Tang, Lingjie Li, Xiongfeng Shan, Xiuqiang He",http://arxiv.org/abs/2608.26895v1,,,2026-08-27T09:51:18+00:00
1.0,RESEARCH_PAPER,"Learning-Augmented Online Allocation under Unreliable Advice: Robustness, Exposure Fairness, and Distribution Shift",Fredy Pokou,http://arxiv.org/abs/2608.26889v1,,,2026-08-27T09:46:04+00:00
1.0,RESEARCH_PAPER,Evaluating human and LLM screening workflows in a conceptually complex scoping review: Recall--workload trade-offs and run-to-run consistency,"Nikol Figalová, Lynn Huestegge, Anne Böckler-Raettig",http://arxiv.org/abs/2608.26885v1,,,2026-08-27T09:42:39+00:00
1.0,RESEARCH_PAPER,PLCBench: Can Autonomous LLM Agents Turn PLC Access into Sustained Physical Impact?,"Yitian Zhou, Jingyu Zheng, Qiliang Jiang, Linkang Du, Haoming Liu, Lichao Wu, Shiyi Zhao, Mengxiang Liu, Ruilong Deng",http://arxiv.org/abs/2608.26882v1,,,2026-08-27T09:40:11+00:00
1.0,RESEARCH_PAPER,C-Unseen: Weak Signal Detection in Dynamic Temporal Knowledge Graphs via LLM Reasoning,"Yassir Lairgi, Ludovic Moncla, Khalid Benabdeslem, Rémy Cazabet, Pierre Cléau",http://arxiv.org/abs/2608.26870v1,,,2026-08-27T09:33:51+00:00
1.0,RESEARCH_PAPER,"BekchiAI: Measuring, Observing, and Controlling LLM Agents in One Click",Mesut Toruk,http://arxiv.org/abs/2608.26867v1,,,2026-08-27T09:30:08+00:00
1.0,RESEARCH_PAPER,Reinforcement Learning-Based Control of CAV Platoon Joining Maneuvers in Mixed Traffic,"Biao Yin, Abderrahmane Kasmi, Nadir Farhi",http://arxiv.org/abs/2608.26860v1,,,2026-08-27T09:27:11+00:00
1.0,RESEARCH_PAPER,From Reasoning to Pixels: Grounded Medical Multimodal LLMs for VQA and Segmentation,"Haowen Gu, Gensheng Pei, Junzhu Mao, Qiong Wang, Mingwu Ren, Yazhou Yao",http://arxiv.org/abs/2608.26856v1,,,2026-08-27T09:23:16+00:00
1.0,RESEARCH_PAPER,LiveSim: Simulating Environment-Shaped Users in Multi-Agent Live-Stream Ecosystems,"Jiaqi Xu, Yiran Qiao, Jing Chen, Qiwei Zhong, Xiang Ao, Xueqi Cheng",http://arxiv.org/abs/2608.26849v1,,,2026-08-27T09:16:29+00:00
1.0,RESEARCH_PAPER,MedFG-VQA: Low-Frequency Memory and Graph Attention for Lightweight Medical VQA,"Haowen Gu, Gensheng Pei, Zeren Sun, Mingwu Ren, Xiangbo Shu, Yazhou Yao, Fumin Shen",http://arxiv.org/abs/2608.26848v1,,,2026-08-27T09:16:14+00:00
1.0,RESEARCH_PAPER,Evaluating Confidence-Gated Retrieval with Matched Trajectory Replay,Prateek Chhikara,http://arxiv.org/abs/2608.26846v1,,,2026-08-27T09:15:33+00:00
1.0,RESEARCH_PAPER,SymbolLKG: Towards Verifiable Logical Reasoning via Logical Knowledge Graph and Symbolic Solvers,"Haizhao Fan, Yuchi Xiong, Jize Wang, Xinping Guan, Xinyi Le",http://arxiv.org/abs/2608.26836v1,,,2026-08-27T09:06:52+00:00
1.0,RESEARCH_PAPER,Behavior2Trip: Towards Personalized Travel Planning via User Behavior Trajectory,"Zihao Cheng, Yingyu Shan, Hongru Wang, Zeming Liu, Xinyi Wang, Xiangrong Zhu, Yuhang Guo, Wei Lin, Yunhong Wang",http://arxiv.org/abs/2608.26807v1,https://github.com/BUAA-IRIP-LLM/Behavior2Trip,0,2026-08-27T08:47:31+00:00
1.0,RESEARCH_PAPER,Decoupling Planning and Control for Instructable Agents,"Zineng Tang, Kelsey R. Allen, Sjoerd van Steenkiste, Ishita Dasgupta, Alane Suhr",http://arxiv.org/abs/2608.26788v1,,,2026-08-27T08:17:58+00:00
1.0,RESEARCH_PAPER,AI Control Scientist: LLM-driven Agentic System for Automated Control Design,"Haiteng Wang, Weihao Li, Jing Zhang, Lei Ren",http://arxiv.org/abs/2608.26780v1,,,2026-08-27T08:11:13+00:00
1.0,RESEARCH_PAPER,Categorizer Automata for Discounted-Sum Payoffs,"Nathalie Bertrand, Pranav Ghorpade, Senthil Rajasekaran, Sasha Rubin, Moshe Vardi",http://arxiv.org/abs/2608.26763v1,,,2026-08-27T07:56:16+00:00
1.0,RESEARCH_PAPER,DEEPCHART: How Far are LLMs from Faithful Data-Science Chart Generation?,"Jiahui tang, Kuicai Dong, Dexun Li, Hongchao Gu, Haocheng Yu, Wei Han, Chen Zhang, Yong Liu, Hao Wang, Enhong Chen",http://arxiv.org/abs/2608.26757v1,https://github.com/tangdouer1005/DeepChart,,2026-08-27T07:53:08+00:00
1.0,RESEARCH_PAPER,Beyond Execution: Auditing Experimental Fidelity in LLM-Driven Scientific Research,"Lezhi Yu, Xiaogang Xu, Yuhua Zhou, Shuibing He, Aimin Pan",http://arxiv.org/abs/2608.26753v1,,,2026-08-27T07:49:29+00:00
1.0,RESEARCH_PAPER,Discovering Relationships in Data Lakes Using Large Language Models: An Industrial Case,"Ahlame Diouan, Eric Ferey, Sabine Loudcher, Jérôme Darmont",http://arxiv.org/abs/2608.26750v1,,,2026-08-27T07:44:39+00:00
1.0,RESEARCH_PAPER,AgentFold: Closed-Loop Agentic Search for Protein Folding Model Design,"Mingquan Liu, Jiangyu Chen, Hanqun Cao, Xujun Zhang, Pengsen Ma, Xiangru Tang, Shuting Jin, Zhuo Yang, Tianfan Fu, Fang Wu, Xiangxiang Zeng",http://arxiv.org/abs/2608.26747v1,https://github.com/lmqfly/AgentFold,1,2026-08-27T07:38:16+00:00
1.0,RESEARCH_PAPER,FaultLens: Learning Compact Behavioral Test Suites for Generated Operational Programs,"Zeming Liu, Hang Lyu, Jingtao Zhang",http://arxiv.org/abs/2608.26746v1,,,2026-08-27T07:37:28+00:00
1.0,RESEARCH_PAPER,Graph-Guided Selective Unlearning for Language Models: Controlling Support Routes Beyond Forget Seeds,"Waqas Khan, Tabinda Sarwar, Jingyue Cong, Xun Yi, Estrid He",http://arxiv.org/abs/2608.26743v1,,,2026-08-27T07:33:17+00:00
1.0,RESEARCH_PAPER,Daydreaming: Stealing Hidden Agent Skills through Black-Box Task Interaction,"Yu-Lin Tsai, Yu-An Lu, Ci-Yang Tsai, Muxi Lyu, Raluca Ada Popa, Chia-Mu Yu",http://arxiv.org/abs/2608.26733v1,,,2026-08-27T07:26:13+00:00
1.0,RESEARCH_PAPER,Rethinking Message Passing as Retrieval for Text-Attributed Graph Learning,"Jintang Li, Yuhong Chen, Ruofan Wu, Binli Luo, Jiayi Ji, Hui Li, Rongrong Ji",http://arxiv.org/abs/2608.26732v1,,,2026-08-27T07:25:44+00:00
1.0,RESEARCH_PAPER,Knowing When Not to Reuse: Conditional Experience Transfer in Autonomous LLM Post-Training,"Tingyun Li, Wenfeng Feng, Weiqing Li, Abudukelimu Wuerkaixi, Guohua Liu, Yuewei Zhang",http://arxiv.org/abs/2608.26730v1,,,2026-08-27T07:22:16+00:00
1.0,RESEARCH_PAPER,LiveVVT: High-Fidelity Video Virtual Try-On in Real Time,"Yushe Cao, Shikun Feng, Ruxiang Duan, Liyong Wang, Dianxi Shi, Chun Yu, Junliang Xing",http://arxiv.org/abs/2608.26714v1,,,2026-08-27T07:06:51+00:00
1.0,RESEARCH_PAPER,AesCanvas: A Large-Scale Dataset and Benchmark for Aesthetic Critique and Contextual Suitability,"Xuanwei Hu, Haoyu Dong, Kejun Wu, Tianyi Liu, Jianjun Gao",http://arxiv.org/abs/2608.26713v1,,,2026-08-27T07:06:32+00:00
1.0,RESEARCH_PAPER,Style as a Confound: False Positives in AI Detection of Non-Native Academic Writing,"Hyeonchu Park, Gahye Jeong, Bugeun Kim",http://arxiv.org/abs/2608.26710v1,,,2026-08-27T07:05:31+00:00
1.0,RESEARCH_PAPER,Accelerating Scientific Research with Gemini in the Real-World,"Samuel Schmidgall, Xiaokai Zhu, Marian Shaw, Lin Yang, Valentin Liévin, Jingyun Yang, Yuchen Zhuang, Tim Strother, Alex Bijamov, Min Woo Sun, Anil Palepu, Justin Chen, David Steiner, Jacqueline Shreibati, Wei-Hung Weng, Yilin Zhao, Xingjian Hu, Nicholas Zahn, Sadhya Garg, Julia Kirby, Yuxiang Gan, Jiaoli Li, Divy Thakkar, Shekoofeh Azizi, David Racz, Juraj Gottweis, Vivek Natarajan, Chenglin Wu, Tal Danino, Keran Rong, Haozhe Wang, Benoit Schillings, Yong Cheng, Quoc V. Le, Tao Tu",http://arxiv.org/abs/2608.26701v1,,,2026-08-27T06:58:13+00:00
1.0,RESEARCH_PAPER,Five Primitives for Governing Autonomous AI Agents at Runtime,"Jiten Oswal, John Cadeddu",http://arxiv.org/abs/2608.26696v1,,,2026-08-27T06:53:11+00:00
